,회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,산업명,[제조]매출액증가율(IFRS연결),[제조]자기자본순이익률(IFRS연결),[제조]매출액순이익률(IFRS연결),[제조]유동비율(IFRS연결),[제조]자기자본구성비율(IFRS연결),[제조]총자본회전률(IFRS연결),[제조]자기자본회전률(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]순이익증가율(IFRS연결),상장폐지사유,회계월,상장년도,회계년,연차
110,(주)미래SCI,28040,2015-12-01,1996-07-27,2021-04-13,4,  도매 및 상품 중개업,88.69,-37.04,-29.61,49.99,27.3,0.35,1.25,4.02,6.43,0.0,,12,1996,2015,19
111,(주)미래SCI,28040,2016-12-01,1996-07-27,2021-04-13,4,  도매 및 상품 중개업,13.73,-51.43,-44.17,137.59,36.07,0.37,1.16,3.41,58.81,0.0,,12,1996,2016,20
112,(주)미래SCI,28040,2017-12-01,1996-07-27,2021-04-13,4,  도매 및 상품 중개업,15.75,-38.43,-34.88,116.57,34.96,0.39,1.1,-6.01,-112.05,0.0,,12,1996,2017,21
113,(주)미래SCI,28040,2018-12-01,1996-07-27,2021-04-13,4,  도매 및 상품 중개업,201.4,-102.28,-37.06,131.56,35.42,0.97,2.76,-24.82,-551.53,0.0,,12,1996,2018,22
114,(주)미래SCI,28040,2019-12-01,1996-07-27,2021-04-13,4,  도매 및 상품 중개업,-74.31,-102.2,-139.33,100.57,31.1,0.25,0.73,-28.1,-539.47,0.0,,12,1996,2019,23
115,(주)미래테크놀로지,213090,2016-12-01,2015-12-01,2021-10-05,4,  출판업,,,,,,,,,,,,12,2015,2016,1
116,(주)미래테크놀로지,213090,2017-12-01,2015-12-01,2021-10-05,4,  출판업,0.0,8.58,21.89,223.2,74.54,0.22,0.3,8.1,1006.07,0.0,,12,2015,2017,2
117,(주)미래테크놀로지,213090,2018-12-01,2015-12-01,2021-10-05,4,  출판업,44.96,-0.24,-2.15,272.88,78.03,0.33,0.44,13.15,2273.91,-102.78,,12,2015,2018,3
118,(주)미래테크놀로지,213090,2019-12-01,2015-12-01,2021-10-05,4,  출판업,10.64,5.74,10.25,213.7,68.59,0.35,0.49,15.6,4909.17,0.0,,12,2015,2019,4
119,(주)미래테크놀로지,213090,2020-12-01,2015-12-01,2021-10-05,4,  출판업,-14.74,4.39,-3.05,278.62,72.28,0.26,0.37,10.17,2088.0,0.0,,12,2015,2020,5
120,(주)미성포리테크,94700,2011-12-01,2007-12-20,2012-04-13,4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-41.46,-331.78,-44.18,34.08,0.0,0.62,0.0,-31.14,-49.54,0.0,,12,2007,2011,4
121,(주)미애부,225850,2016-12-01,2015-12-08,2022-04-27,4,  도매 및 상품 중개업,,,,,,,,,,,,12,2015,2016,1
122,(주)미애부,225850,2017-12-01,2015-12-08,2022-04-27,4,  도매 및 상품 중개업,,,,,,,,,,,,12,2015,2017,2
123,(주)미애부,225850,2018-12-01,2015-12-08,2022-04-27,4,  도매 및 상품 중개업,,,,,,,,,,,,12,2015,2018,3
