회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,산업명,[제조]매출액증가율(IFRS연결),[제조]순이익증가율(IFRS연결),[제조]매출액순이익률(IFRS연결),[제조]자기자본순이익률(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]자기자본구성비율(IFRS연결),[제조]유동비율(IFRS연결),[제조]총자본회전률(IFRS연결),[제조]자기자본회전률(IFRS연결)
(주)국순당,43650,2015/12,2000/08/24,,5,  음료 제조업,-15.7,0.0,-4.56,-1.93,8.43,26.4,91.5,905.17,0.36,0.39
(주)국순당,43650,2016/12,2000/08/24,,5,  음료 제조업,-10.0,0.0,-3.96,-1.39,8.63,28.34,91.09,790.47,0.32,0.36
(주)국순당,43650,2017/12,2000/08/24,,5,  음료 제조업,-9.96,0.0,15.44,4.88,12.82,53.49,91.47,708.73,0.28,0.3
(주)국순당,43650,2018/12,2000/08/24,,5,  음료 제조업,-2.02,-127.24,-4.84,-1.26,8.01,28.64,90.39,618.73,0.26,0.28
(주)국순당,43650,2019/12,2000/08/24,,5,  음료 제조업,66.02,0.0,-8.1,-2.47,5.91,19.02,81.18,232.87,0.42,0.49
(주)국순당,43650,2020/12,2000/08/24,,5,  음료 제조업,-48.14,0.0,35.25,8.89,15.94,75.91,90.86,642.45,0.21,0.25
(주)국영지앤엠,6050,2011/12,1994/10/07,,5,  비금속 광물제품 제조업,,,,,,,,,,
(주)국영지앤엠,6050,2012/12,1994/10/07,,5,  비금속 광물제품 제조업,,,,,,,,,,
(주)국영지앤엠,6050,2013/12,1994/10/07,,5,  비금속 광물제품 제조업,,,,,,,,,,
(주)국영지앤엠,6050,2014/12,1994/10/07,,5,  비금속 광물제품 제조업,,,,,,,,,,
